"County","N","Región","Resid.Region","AFR","EUR","EAS","AMR","AYM","MAP","Class"
"Alto Hospicio",46,1,"Región de Tarapacá",0.0388497179,0.4496315385,0.0052336667,0.4866964103,0.3101214359,0.2009947179,2.3695652174
"Iquique",215,1,"Región de Tarapacá",0.0505294389,0.45742805,0.0123704737,0.4667800611,0.2826586444,0.2080781056,1.7069767442
"Coquimbo",174,4,"Región de Coquimbo",0.050894297,0.4816705697,0.0126104583,0.4485328424,0.2266870364,0.2389138,2.4047619048
"La Serena",190,4,"Región de Coquimbo",0.0545605525,0.4920313425,0.0119205,0.4352491768,0.2089527845,0.2418209448,2.1005291005
"Chillán",237,8,"Región del Biobío",0.0388799397,0.548346431,0.0085481481,0.406914944,0.1489964526,0.2627823362,2.4615384615
"Chillán Viejo",42,8,"Región del Biobío",0.0373052381,0.528886381,0.010664,0.433202381,0.1470829524,0.2859636667,2.880952381
"Coihueco",25,8,"Región del Biobío",0.0456591739,0.5177818261,0.019925,0.4271888261,0.1817169565,0.2539756957,3.4782608696
"San Carlos",22,8,"Región del Biobío",0.0194971818,0.5739501364,0.0063468333,0.3939530909,0.1422924091,0.2625295455,3.2272727273
"Gorbea",22,9,"Región de la Araucanía",0.0246219524,0.5487095714,0.011928,0.4198847619,0.1554555714,0.2695089048,2.6818181818
"Lautaro",26,9,"Región de la Araucanía",0.0360422273,0.41711,0.012718,0.5440096364,0.1987471364,0.3475223182,2.5769230769
"Nueva Imperial",26,9,"Región de la Araucanía",0.026757,0.3878315769,0.0073123333,0.5911960769,0.1466140385,0.4379538462,2.5769230769
"Padre Las Casas",35,9,"Región de la Araucanía",0.0330551875,0.4538293125,0.011055,0.512168125,0.1788718125,0.3338983125,2.6571428571
"Pitrufquén",26,9,"Región de la Araucanía",0.0353779615,0.4591917308,0.009769,0.5070650769,0.1592286538,0.3454501923,2.6538461538
"Temuco",245,9,"Región de la Araucanía",0.0347348602,0.5113951271,0.0091764194,0.4478799788,0.1575000763,0.2951646102,2.106122449
"Villarrica",50,9,"Región de la Araucanía",0.0347209583,0.4766793125,0.0040095,0.4832736458,0.1784166458,0.310016,2.36
"Puerto Montt",118,10,"Región de los Lagos",0.0293665877,0.446778693,0.0335165,0.5267947456,0.1724348333,0.3508319912,2.4745762712
"Colina",50,13,"Región Metropolitana",0.0424025455,0.5621461818,0.0054076,0.3828414318,0.1734844318,0.2213523182,2.38
"Conchalí",67,13,"Región Metropolitana",0.0417658727,0.5243721818,0.00830625,0.4239446182,0.1754495636,0.2572042364,2.4461538462
"Huechuraba",36,13,"Región Metropolitana",0.047351,0.5591969,0.0127245,0.3806812333,0.1689077333,0.2228477333,2.4166666667
"Independencia",45,13,"Región Metropolitana",0.0345819524,0.5410690714,0.0116921,0.4058819048,0.183321619,0.2382435476,2.2272727273
"La Florida",50,13,"Región Metropolitana",0.0414016939,0.5631755918,0.0245571429,0.3787260816,0.1725166327,0.2193979388,1.78
"La Reina",22,13,"Región Metropolitana",0.0473507727,0.6127370455,0.005858,0.3264759091,0.1602451364,0.1791344545,1.5
"Lampa",36,13,"Región Metropolitana",0.048556125,0.505667875,0.003284,0.4369225938,0.1881079688,0.2574628438,2.5142857143
"Las Condes",75,13,"Región Metropolitana",0.0386216471,0.6869125735,0.0109154667,0.2641361765,0.1022432794,0.1698147353,1.2133333333
"Lo Barnechea",24,13,"Región Metropolitana",0.0312107727,0.8027240455,0.0046333,0.1510795909,0.0575936818,0.1063654545,1.0416666667
"Maipú",43,13,"Región Metropolitana",0.0551226111,0.5588327222,0.0046158,0.3837997222,0.1277961111,0.2576074722,1.6428571429
"Ñuñoa",35,13,"Región Metropolitana",0.0412848125,0.6107696563,0.009454,0.328294625,0.1796850625,0.1676696875,1.2
"Peñalolén",23,13,"Región Metropolitana",0.0586110476,0.5824719048,1.00E-005,0.3553291905,0.1248764286,0.2340401429,2.0434782609
"Providencia",34,13,"Región Metropolitana",0.0513929,0.6553377667,0.00877,0.2845288,0.1189422,0.1740347667,1.4411764706
"Pudahuel",21,13,"Región Metropolitana",0.0473212222,0.5125913333,0.015307,0.4354333333,0.1339103889,0.3044760556,2
"Puente Alto",91,13,"Región Metropolitana",0.0386477683,0.5251797317,0.0108492632,0.4238198415,0.1602048415,0.2734537805,2.3736263736
"Quilicura",82,13,"Región Metropolitana",0.0340030758,0.5286078939,0.0109806,0.4303199697,0.1556249394,0.2801003636,2.4125
"Recoleta",61,13,"Región Metropolitana",0.0378726481,0.5270753519,0.0078616667,0.4272126852,0.1445271296,0.2887779259,2.3833333333
"Renca",24,13,"Región Metropolitana",0.0385751739,0.5515848696,0.0112386667,0.4078331304,0.1329676957,0.2754062609,2.625
"San Bernardo",21,13,"Región Metropolitana",0.0410584737,0.4749962632,"NA",0.4772103684,0.1829832105,0.3009621579,2.3333333333
"San Miguel",20,13,"Región Metropolitana",0.0443793684,0.5562206316,"NA",0.3931499474,0.1664134211,0.2329866842,1.65
"Santiago",83,13,"Región Metropolitana",0.0319057662,0.5884574286,0.0079724,0.3739075195,0.1425558701,0.2360455844,1.756097561
"Arica",269,15,"Región de Arica y Parinacota",0.0483157751,0.4220745743,0.00823255,0.5001367229,0.3406518554,0.1882965502,2.0408921933
"Camarones",20,15,"Región de Arica y Parinacota",0.022555,0.1880224444,0.00624,0.7507383889,0.7153189444,0.0699434444,3.95
